громкий музыка
восьмой район
мадам один
длинный золотистый
наметать глаз
натуральный блондинка
крупный нежный
нежный серый
обручальный кольцо
крепкий шея
сшить чёрный
девичий благодарный
благодарный улыбка
свой первый
первый оценка
деловой женщина
тонкий слух
английский речь
некоторый недовольство
минимальный плата
луковый суп
один бутерброд
свой место
необузданный молодой
чековый книжка
свой гостиничный
буйный молодой
молодой американка
сигаретный дым
французский ввс
редкий сочетание
белизна она
такой женщина
мой дыра
обратный путь
самый истинный
небольшой передышка
вежливый знак
больший серый
густой чёрный
досадный безволие
излишний самодовольство
самый подходящий
подходящий цвет
это заведение
управляемый страна
мистер краун
пятитысячефранковый купюра
ваш честь
свежий воздух
спать город
уличный фонарь
одинокий человек
табачный дым
тот человек
непристойный преследование
тони краун
